num_layers,num_nodes,batch_size,epochs,mean_accuracy,mean_f1
3,384,64,100,0.9626279117378427,0.9628318749228792
3,288,64,100,0.9607311741265342,0.9615029280944777
1,480,64,100,0.9689710903595022,0.9693583612462415
2,480,64,100,0.9664334043857264,0.9667558840445057
1,352,64,100,0.9657944906189926,0.9662450385357099
3,352,64,100,0.9689690937935957,0.9692400265881573
1,256,64,100,0.9689610568235334,0.9691190750949898
2,64,64,100,0.9651435340737742,0.9655417912266919
1,416,64,100,0.96769124090691,0.9680781789852062
1,448,64,100,0.9645246493491513,0.96508674776841
1,128,64,100,0.9664153845861309,0.966993158595497
4,512,64,100,0.9594472935123017,0.960323237504985
3,288,64,100,0.9683361570479727,0.9686894293187918
1,288,64,100,0.9683301546736439,0.9685670825321644
2,192,64,100,0.9632588138877323,0.9634245626735785
2,224,64,100,0.9670603134038027,0.9673045262223093
1,416,64,100,0.9651675816009163,0.9655386099486833
2,480,64,100,0.9651715874093385,0.9653105322185759
3,384,64,100,0.9626399418397182,0.9631590533847
4,384,64,100,0.9613781121867214,0.9620445807160426
3,224,64,100,0.9638897160376217,0.9639736631233538
3,512,64,100,0.9683301673502529,0.9686898903736345
2,288,64,100,0.9670703342631626,0.9675114663784777
3,384,64,100,0.9651515583672274,0.9653730960317107
2,160,64,100,0.9638857229058084,0.9643089393797869
4,320,64,100,0.9670803424459138,0.96725820550232
2,416,64,100,0.9664414160025709,0.9665945312854977
3,288,64,100,0.9639077738670438,0.9645891800203399
2,384,64,100,0.9658045114783524,0.9662107176306864
2,160,64,100,0.9664294112539131,0.9667295424951623
4,416,64,100,0.9613580704680015,0.9617421077435431
3,480,64,100,0.9670643192122249,0.9672531333573918
3,64,64,100,0.9594452969463951,0.9601412479039573
4,288,64,100,0.9683261488652217,0.968794635937838
1,160,64,100,0.9645226527832446,0.9650637174275426
4,448,64,100,0.9651655596817917,0.9654035688599653
2,352,64,100,0.9657884882446636,0.9660720885340872
1,256,64,100,0.9714927404229805,0.9717715325306713
3,448,64,100,0.9613640855189391,0.9618743088099381
4,64,64,100,0.9556357604602624,0.9563673035957327
2,256,64,100,0.9708578197880599,0.9711920916247972
1,448,64,100,0.9689731122786268,0.9695237181706048
2,256,64,100,0.9632688093938743,0.9636417963997325
2,288,64,100,0.9664374228707576,0.9668656951620328
1,384,64,100,0.9702269049615614,0.970464063104623
4,480,64,100,0.9619889852944998,0.9625512760717652
4,288,64,100,0.9638837263399017,0.9643102305660787
2,96,64,100,0.9626178782018737,0.9629196949213374
2,288,64,100,0.9683401755330039,0.9687121601594892
1,416,64,100,0.9702369258209214,0.970601489224188
1,448,64,100,0.968973086925409,0.9692137551532595
2,160,64,100,0.9657924813764769,0.9660478669994497
4,96,64,100,0.9613500461745481,0.961935638438208
1,512,64,100,0.9670703215865537,0.967493070323185
1,160,64,100,0.9638837136632927,0.964147416121007
1,256,64,100,0.9708678406474197,0.9710913840809331
2,416,64,100,0.9689590729342357,0.9691683818959232
4,192,64,100,0.965782460517117,0.9660784437696657
3,416,64,100,0.9670623353229271,0.9674351364285838
2,256,64,100,0.9670603134038027,0.9674233370089164
4,512,64,100,0.9581914789102427,0.9587305143182252
4,224,64,100,0.9683281454311283,0.9685666800347617
3,224,64,100,0.9658085299633836,0.9664858092952153
4,192,64,100,0.9657924940530858,0.9661930538747233
2,128,64,100,0.962611863150936,0.9628932077739931
1,512,64,100,0.9695979867009695,0.9697817720223203
4,192,64,100,0.9714927404229805,0.9717419711038573
4,128,64,100,0.9613420472343126,0.9616757828818848
2,320,64,100,0.9645226401066356,0.9649376444302632
4,256,64,100,0.9689610821767513,0.9694711003195436
2,416,64,100,0.9638917252801372,0.9642816463870894
1,160,64,100,0.9670483086551449,0.9675786266509446
1,384,64,100,0.9715027486057315,0.9717453779962778
2,256,64,100,0.9664253927688821,0.9665496884496495
1,128,64,100,0.958189482344336,0.9587945022813443
3,448,64,100,0.9651515456906186,0.9653392015831151
4,512,64,100,0.9607431915518008,0.9614591612230239
1,96,64,100,0.9632427906540434,0.9638365410126439
4,320,64,100,0.9651675816009163,0.9654434606289929
3,128,64,100,0.96325480807931,0.9637819687718926
2,320,64,100,0.9657964998615081,0.9660830799016766
4,288,64,100,0.9645306770766979,0.9649234640247574
2,512,64,100,0.9664434252450864,0.9667395008063515
1,320,64,100,0.9695919843266407,0.9698473123247906
3,512,64,100,0.96770725146399,0.9679767361337414
2,192,64,100,0.9645246493491513,0.9648650391765596
4,416,64,100,0.9638957437651683,0.964514597305766
1,416,64,100,0.9727726152287905,0.9730549666182655
1,160,64,100,0.969589987760734,0.9699064344700894
1,96,64,100,0.9645246620257601,0.9649272622238678
2,96,64,100,0.9613520554170636,0.9618204991451618
1,64,64,100,0.9569176445085882,0.9576620659566408
3,416,64,100,0.9651655977116185,0.9655708953157498
2,160,64,100,0.9689630660660489,0.9691235249238407
1,256,64,100,0.966419390394553,0.9666840554518389
2,448,64,100,0.9651595699840719,0.9655092191130683
3,384,64,100,0.9651695781668229,0.9651696794345741
4,448,64,100,0.9645286424809646,0.9649977714216205
3,448,64,100,0.9657964871848991,0.9662164881327137
4,416,64,100,0.9613540519829703,0.9617210389573005
