num_layers,num_nodes,batch_size,epochs,n_steps,mean_accuracy,mean_f1
0,6,28,2,700,0.6679851797764987,0.7341086383457947
0,18,4,2,350,0.49873216163436984,0.0
2,6,20,2,700,0.6571274740779194,0.732294499171563
1,14,4,2,400,0.49873216163436984,0.0
1,14,20,2,600,0.6697918057132208,0.7441821905296246
0,8,12,2,650,0.692036040866852,0.7524456650278466
2,10,28,2,550,0.49873216163436984,0.0
0,4,28,2,350,0.6508163165704195,0.7174631348849465
0,4,28,2,600,0.6932998544091464,0.7544543327686768
0,4,20,2,700,0.6590542996205256,0.7428640189463532
2,4,12,10,500,0.49873216163436984,0.0
2,28,4,10,450,0.49873216163436984,0.0
2,20,28,10,400,0.49873216163436984,0.0
0,44,12,10,450,0.49873216163436984,0.0
1,56,20,10,500,0.49873216163436984,0.0
1,4,12,10,400,0.6080601175501946,0.3162790697674419
0,32,12,10,650,0.49873216163436984,0.0
2,32,4,10,600,0.5012678383656302,0.6677924446734297
0,40,20,10,550,0.49873216163436984,0.0
2,52,12,10,650,0.49873216163436984,0.0
0,24,28,10,550,0.5006369235391317,0.40084566596194504
0,40,28,10,400,0.49873216163436984,0.0
0,16,12,10,400,0.49873216163436984,0.0
0,52,4,10,300,0.49873216163436984,0.0
1,36,28,10,400,0.653952908933143,0.7413665634765569
2,8,28,10,700,0.6919739444980031,0.7585811363502224
1,48,28,10,700,0.6989580207756945,0.756400900697764
1,44,4,10,700,0.5006329177307095,0.5341772226861147
2,40,4,10,650,0.49873216163436984,0.0
1,40,20,10,450,0.49873216163436984,0.0
