n_estimators,mean_accuracy,mean_f1
100,0.8935198125890136,0.8960359599386836
150,0.8922599795019235,0.8953649063518666
200,0.8916270554329093,0.8942852475260299
250,0.8941607355982629,0.8973248997688928
300,0.8954285549489798,0.8980215172309393
350,0.894156729789841,0.8970669919762937
400,0.8935218091549203,0.8966711096214656
450,0.8916190438160649,0.8945543977791575
500,0.8941547205473253,0.8971678976035553
550,0.8922599668253145,0.8953827255299218
600,0.8922499586425634,0.8951847972734113
650,0.8928968840261418,0.895836670904697
700,0.8935238057208268,0.8961332669754769
750,0.8935258022867334,0.8963558314816211
800,0.8916230496244871,0.8946013031812965
850,0.8922539644509856,0.8951196901492506
900,0.8935217964783113,0.8963472290799454
950,0.8909821266152378,0.8938805698135106
1000,0.8954265583830733,0.8984189532630678
